username,full_text
galeriapik,seperti ada pejabat dpt door prize dr modalnya danantara sedangkan pejabat yg tdk dpt semoga msh obyektif menegakkan hukum kenapa tdk sehatkan amp bersihkan bumn yg ada dulu sebelum bentuk danantara apa karena sdh tak dipercaya kreditur asing
hendar1994,bumn bersih danantara terpercaya
Johan_Oke,hatihati ya pemegang saham bumn danantara kalo gue sih cek out
JPSA__,menteri bumn ketua pssi anggota noc ketua dewan pengawas danantara ketua komisi wasit pssi ada lagi
qim_ruh,tampilannya kurang meyakinkan dan kurang cerdas percaya deh danantara bakal menjadi tempat pembantaian bumn bumn punya rakyat woi bukan milik nenek mu
PramukhtikoS,hal yg sepele saja abai rangkap jabatan kepercayaan publik bukan dipaksakan blm banyak contoh bumn yg clear and clean dlm good governance shg amat wajar muncul kekhawatiran dimaksud semoga pandangan sby diinternalisasi dlm danantara
ojixsnafu,fokus ke dalam vs tantangan global danantara punya misi besar memasukkan lebih banyak bumn ke fortune 500 tapi dengan pemotongan anggaran rp306 7 triliun bagaimana dengan rampd dan inovasi tanpa itu bisakah indonesia bersaing di panggung global
ojixsnafu,danantara disebut sebagai energi untuk masa depan berbeda dengan swf lain yang mengelola surplus minyakgas danantara dibangun dari aset bumn di sektor telekomunikasi perbankan hingga migas tujuannya jadi motor penggerak pertumbuhan ekonomi 8 ala prabowo
ojixsnafu,danantara mega proyek swf indonesia yg kontroversial prabowo subianto mewujudkan janji kampanyenya dgn meluncurkan danantara sebuah sovereign wealth fund swf raksasa senilai us900 miliar dibentuk dari konsolidasi 7 bumn besar ini adalah salah satu swf terbesar di dunia
PrabawantaSri,kalau danantara ada uang kenapa tidak untuk membeli sritex biar jadi bumn kemudian giatkan marketingnya oleh para dubes
ErickAnwar1121,sok pintar tp dongoliat gestur tubuh amp pergerakan bola matanya ciri khas orang yg gelisah tdk jujur amp tidak siap utk dikonfrontasi yg spt ini mau jd ceo danantara sekaliber eric tohir pun tdk terbukti tdk mampu bumn banyak yg hancur apalagi kau yg hanya sekelingkingnya
Jmy_46,kalau melihat persaingan yang sangat ketat pada klasmen sementara liga bumn danantara ini adalah pesaing juara untuk 12 musim kedepan pak itu yang saya tangkap dan prediksikan
SYAWALH,ga semua bg bumn kelas satu ajaaa yg ikut danantara wkwk
sugiant96289201,banyak bumn yg diharapkan bisa memperkokoh ekonomi nasional memberi income dr pengelolaan sda negeri malah jadi sarang korupsi bagi segelintir orang pertamina pt timah pt asabri pt jiwa sraya dll yg dinilai sdh bobrok semoga pt danantara bisa meminimalisasi korupsi
Subvest27_,gini pak gimana rakyat bisa diyakinkan bahwa danantara ini transparan pertamina aja yg katanya rugi terus dan ketahuan punya dana seleweng sebesar itu apalagi kalo seluruh bumn terutama himbara dilibatkan
elzaindra,syukurlah masih ada satusatunya bumn yang tidak masuk ke danantara
THEARTofMYSTORY,danantara indonesia alias temasek wannabe adalah proyek ambisius pemerintah yang katanya mau mengelola investasi negara dengan lebih profesional dan efisien tapi beneran jadi versi indonesia dari temasek atau cuma bumn rasa baru yang siap jadi sapi perah elite 1
k_tuaethnic,jgnkan mundur malah langsung melakukam rapat malam dgn kejagungpertanyaanya membahas apa coba beredar pula ke publik sudahlah rusaknya beberapa bumn itu jelas karena ketidakbecusan kerjakerja anda sebagai menteri bumn mundurlah urus pssi amp danantara saja
hypevox_id,menteri bumn erick thohir menegaskan bahwa danantara tidak bisa disamakan dengan skandal 1mdb yang pernah mengguncang malaysia ia meminta publik untuk lebih objektif dan melihat contoh swf yang sukses di berbagai negara
inikamindonesia,menteri bumn erick thohir menegaskan bahwa danantara tidak bisa disamakan dengan skandal 1mdb yang pernah mengguncang malaysia ia meminta publik untuk lebih objektif dan melihat contoh swf yang sukses di berbagai negara
AldinaFati84360,bagaimana mau percaya jika orang yg mengelola danantara semua orang yg memiliki rekam jejak koruptor jgn paksa rakyat untuk percaya pemerintah pak sby terlalu banyak bukti kegagalan pmerintah mengelola uang rakyat yg jadi korban lagi dn lagi adalah rakyat bumn sarang koruptor
nawabinekanews,menteri bumn erick thohir menegaskan bahwa danantara tidak bisa disamakan dengan skandal 1mdb yang pernah mengguncang malaysia ia meminta publik untuk lebih objektif dan melihat contoh swf yang sukses di berbagai negara
labyod,danantara duitnya dr deviden bumn ya trus mo bagi2 ke pengurus danantara dgn dalih gaji mrk saya jg mau dong jd apa gitu di danantara officeboy jg boleh plis pak dan pak
masadhi33753418,gimana rakyat nggak khawatir dg danantara ini pak korupsi brutal dan merajalela bumn pada tumbang orang2 itu jg yg mau kelola lembaga ini pesimis banget liatnya
RomitsuT,jujur saja pak bapak sebenarnya khawatir pd nasib bumn yg ada atas hadirnya danantara kan mengelola total aset bumn rp 11 ribuan t pernyataan bapak ini akan menjadi senjata buat menangkis serangan saat danantara bermasalah kelak walau bapak masuk dlm lingkaran rezim
EricStrada68660,bumn lagi bumn lagi hellooo pak masih sibuk sepak bola atau danantara pak
Bocah_GembloenG,bumn saja yg amburadul bertahun nggak bisa diberesin apalagi danantara yg uangnya sebanyak itu mungkin jika bumn kita itu nggak jadi ladang korupsi diberbagai lini rakyat nggak akan protes begini
rangga_fatih,3m males muak muntah lihat drama pejabat ni liat aj bumn ktika di bilang rugi emg merekapejabat tetap rugi ttap enakan dpet gaji n tunjangan yg fantastis bahkan dikorupsi pulak kek pertamina bisa aj nanti investasi danantara ini di bilang kolaps lah rugilah ntah apalah
RomitsuT,kang ojek perlu sampaikan nih yadanantara itu hadir untuk memanfaatkan dan mengelola aset dari semua bumn yg ada total aset sekitar rp 11 ribu t untuk memancing hadirnya investor gadaikan aset karena sulitnya 1 investor luar masuk ke ina 2 mendapatkan utang ln
da_tator_id,aset negara dijadiin milik segelintir pengelola yg bebas mengelola tanpa kontrol aturan ketat negara ingat pasal danantara bukan badan negara jadi bumn dikumpulin asetnya buat diprivatisasi kalo default kayak waskita bisa diambil swasta di mana kebaikannya
Yuseokk4ng,danantara itu ladang korupsi baru bisa2nya gabungin bumn strategis
bumnbersatu,bukan dana pihak ke tiga di bank2 bumn yg digunakan sebagai modal atau aset danantara hanya deviden aset bank dan fasilitas kredit dari dana pihak ke tiga kalau danantara rugi ya ikut rugi juga
RafdianalRusli,dana super besar tetapi dikelola secara amatir alias dengan rangkap jabatan oleh menteri dan wamen bumn di danantara jadi masyarakat sanksi apalagi presiden sepeeti ibu2 bawa sepeda motor belok ke kiri tetapi lampu sennya ke kanan
shoegazeyy,danantara bumn tapi lebih besar dan tanpa tanggung jawab hukum yang pasti
iccank242424,bayangkan ini semua merugi akibat tikus bersarang dalam bumn bayangin aja pak kini bumn menjadi sarang tikus melenceng dari tujuan awalnya seharusnya bumn sebagai penopang perekonomian nasional kini malah memelihara tikus bagaimana dgn danantara
TriwidodoAries,saya merasakan kesedihan yang lebih mendalam jika tata kelolanya sebagaimana yang tertuang dalam perpres semua bumn yang selama ini penyumbang apbn melalui deviden dengan danantara tidak ada lagi deviden yang masuk lagi ke apbn
Pandugaid,menteri badan usaha milik negara bumn erick thohir mengumumkan bahwa 47 aset bumn akan dikelola secara terpusat di bawah badan pengelola investasi bpi atau danantara saat ini baru 7 bumn yang telah berada di bawah pengelolaan danantara yaitu pertamina pln bri bni bank
wedusgan,pahami konteks dulu sebelum kritik danantara itu mengelola bumn kemudian hadil deviden yang biasanya masuk apbn untuk belanja negara akan di reinvestasi lagi bukan uang tabungan masyarakat yang jadi masalah adalahmasalah pengelolaannya akan transparan nggak
ANTARAJatim_,jakarta antara menteri bumn erick thohir mengharapkan kehadiran badan pengelola investasi daya anagata nusantara danantara indonesia dapat meningkatkan kualitas investasi
Boediantar4,kasus pagar laut perlahan mulai redup kenapa ini kenapa trus berhenti atau dibungkam paksa muncul amp ramai berpindah perhatian rakyat pada modus penipuan baru bumn danantara amp bank emas
WendraR2,sumber dana danantara dari pemotongan apbn dan penggabungan aset bank bumn yg didalamnya menghimpun dana masyarakat sangat berbahaya ihssg merespond negatif swf idem danantara didunia didirikan karena hasil keuntungan sda dan surplus neraca pembayaran salam sehat pak sby
MAP08LGS,sebenarnya masalah nya sederhana pak sbydlm konsep gcg agar berjalan tdk terjadi konflik kepentingan maka regulator tdk boleh menjadi operatordan keberadaan danantara itu tdk membawahi beberapa bumn tapi berdiri diatas semua kepentingan dan konsepnya mencari laba dgn melihat
emarahima,pak danantara ini baik tapi kalau dewan penasihat nya finalis oocrp amp erik tohir masih terlibat pesimis danantara ini akan dikelola dgn benar pak sby tahu kan bumn di bawah erik tohir banyak koruptornya bapak tahu telkom beli saham goto 6 4t milik boy tohir
toramasaro,seharusnya tidak diperlukan lagi kementerian bumn dengan adanya danantara biar lebih effisien dan efektif
WendraR2,swf didunia berdiri dari dana hasil dari sumber daya alam atau surplus neraca pembekspvsimport sumber dana danantara hasil pemotongan dana apbn dan penggabungan bank2 bumn yg dananya adalah dana masyarakat bahaya boss kecuali dananya hasil keuntungan sda
LagiPitung,satu2nya bumn yang tidak berada dibawah danantara
zwarzen,kenapa gak bank bumn saja yang di switch jadi danantara
OmpungGuru,yth pak yang bapak sampaikan ini wajarwajar saja karena bapak sebagai dewan penasehat danantara coba bapak memposisikan diri sbg rakyat atau orang yang berada diluar pemerintahan rakyat saban hari disuguhi dengan beritaberita korupsi yang menimpa bumn pak
JatijayaPerkasa,satunya bumn mbalelo yang tidak mau masuk danantara pulak mesti diusut tuntas nih
_riverheaven,heran katanya pada mengawasi bumn tapi kok bisa kecolongan rugi terus dan hampir semua bumn rugi jadi apanya yang diawasi danantara sehari peluncurannya hingga hari ini masih trust issue karena kepengurusannya orang bermasalah masa gak peka sih
samhugget,setuju dengan pendapat bapak gimana kita tidak khawatir yang duduk di lembaga danantara adalah orang orang yang sudah tidak diragukan lagi kegagalannya dalam mengelola sebuah badan usaha ada yang sudah berpengalaman membangkrutkan bumn ada finalis occrp
goaticid,gmn mau percaya petinggi danantara masih njabat menteriwakil menteri komisaris bumn dsb selain potensi konflik kepentingan masak regulator berperan juga sebagai operator gmn investor mau percaya dan merasa aman
moon_astrophile,ketidakjelasan sumber pendanaan pemerintah mengklaim dividen seluruh bumn sebagai sumber utama pendanaan danantara dengan proyeksi rp300 triliun di 2025 namun data uu apbn ta 2025 menunjukkan angka sebenarnya hanya rp90 triliun cont
satriohendri,bumn era soeharto vs danantara semoga sukses ini institusi
PallakaGO,politics free komisaris bumn yg masuk di danatara banyak org parpol bahkan ceo danantara ketua timses prabowogibran politics free
BobyBarbossa,di tengah kebutuhan internal dan situasi global yang menantang terobosan baru kreatif dibutuhkan agar perekonomian kita berkembang pesat danantara akan melakukan pengelolaan aset negara untuk berinvestasi di proyekproyek strategis
ANTARABengkulu,menteri bumn erick thohir mengharapkan kehadiran badan pengelola investasi daya anagata nusantara danantara indonesia dapat meningkatkan kualitas investasi
richard_gi47462,bagus bung itu danantara jika dikelola dengan profesional oleh orang yang juga profesional dan tidak akan dikorupsi masalahnya dana awalnya berasal dari efisiensipemotongan apbnbukan dari laba bumn dana itu sebenarnya untuk kesejahteraan rakyat saat ini
syueb2011,omonomon danantara dhe dan bullion bank hanyalah sekedar mimpi equity pemerintahan di bumn kok dihitung sebagai equity danantara apakah sesederhana itu equity berupa fixed asset tentu tidak liquid belum lagi hutang bumn yang gagal bayar dan merugi besar
InvestorID,erick thohir akan transfer us 909 miliar aset bumn ke danantara
BursaNusantara,bumn serahkan aset ke danantara erick thohir pastikan peralihan aset bumn ke bpi danantara dilakukan bertahap amp transparan proses masih menunggu regulasi pp inbreng benarkah ini akan memperkuat ekonomi nasional
e100ss,erick thohir menteri bumn harap danantara tingkatkan kualitas investasi
mediaindonesia,danantara tetap membutuhkan suntikan penyertaan modal negara pmn dari pemerintah yang rencananya akam diambil dari deviden badan usaha milik negara bumn
Nicke9662734599,jauhkan mantan orang petral dari dan anak usahanya setelah itu anda pilih akan tetap sbg menteri bumn atau ketua badan pengawas danantara rangkap jabatan itu sangat berpotensi menjadi conflict of interest yg menyebabkan keputusan yg bias dan tidak profesional
10969sarkun,ngurusi bal ngurusi bumn tambah meneh danantara mending kamu aja yg mundur le
PeacePack2,satu satunye bumn nyang gak mao gabung ame danantara
rebo_kliwon,malah jadi makin khawatir pejabat2 yang dipilih untuk mengurus danantara memiliki rekam jejak buruk dalam integritas wajar rakyat cemas dan khawatir jadi ajang korupsi baru yang lebih besar makin kesini bumn yang dibina erick thohir saja makin terungkap jadi sarang korupsi
ketertibanumum,menyambut baik dibuatnya danantara siap2 kencangkan ikat pinggang untuk sobat bumn sy yg pns dilindungi uu pp perpres amp semua aturan turunannya sobat bumn emang gw pikirin
Fahrihamzah,lahirlah danantara maka konsolidasi bumn itu sekarang telah terjadi pada tahap pertama hasil dari konsolidasi itu adalah dana negara yang kita bayangkan sebagai akumulasi dari kekayaan negara kita yang langsung menjadi kekuatan yang sangat besar dan diperhitungkan
Fahrihamzah,danantara dana siapa fahri hamzah saya hampir lima tahun berada di komisi vi dpr ri pada waktu itu yang mengawasi kementrian bumn yang menurut seharusnya bukan mengawasi bumn sekitar periode 20042009 dan pada akhir periode itu saya menulis buku berjudul negara bumn dan
maegicalqueen,gais bni kan bank bumn yah aman ga si kalo nabung di life goalsnya sejak isu danantara ge jadi trust issue sama bank bumn
bpsmgt,47 bumn masuk danantara yg tadinya korupsi hanya di bumn skrg ditambah lagi korupsi terpusat jualan bumn akan makin mahal
RzxFakhih27669,danantara seperti sebuah lembaga investasi yang dananya diambil dari bumn untuk diinvestasikan
NH_Poetranto,artinya program utama dari danantara ini adalah memperbaiki neraca bumn dan tentu kinerjanya harus diperbaiki juga itu tugas berat bagi pengurus danantara total utang bumn sampai akhir 2024 itu mencapai hampir 7000 t
NH_Poetranto,kalau mau disederhanakan danantara ini solusi mengatasi utang bumn akibat kebijakan masa lalu alih2 menjadi solusi sumber daya negara mendapatkan dana pembangunan di luar apbn malah justru bumn sendiri berkubang dengan masalah tak ubahnya dengan apbn sendiri
ilhamiasnawi,aset semua bumn bakal dikelola danantara erick thohir transformasi total
ota_bibar2,biar fokus ke sepak bola dan tidak rakus jabatan mending resign dari menteri bumn dan pegawas danantara terbukti gmana carut marutnya menteri bumn mengawasi pertamina sampai sampai kasus pertalit jadi pertamax viral
Miko_nglad,bumn aja hacur apa garansinya utk danantara
ilhamiasnawi,47 bumn dicaplok danantara erick thohir tetap awasi
Omara99Daniel,kelola aset 7 bumn raksasa apa itu danantara
Kanzia_92,danantara merupakan langkah strategis untuk mengatur aset negara yang selama ini ada di bumn agar lebih efektif
kebohejoreborn,lah gmn mau mundur danantara kan baru diresmiin masa sbg yg masih nyengkram danantara lewat kementerian bumn maen asal mundur aja
Mas_Berto77,pak sbg menteri bumn otak dan ragamu nampaknya lelah hunting pemain dan pelatih bola demi peringkat fifasmp tikus bumn berpesta gimana kelak danantara dan bank emas nasibnya
CarolineSarah5,nonton jelasin dong tempo youtube buset ternyata pengaruh et dan dasco sangat besar thd revisi uu bumn yg kemarin disahkan termasuk di dalamnya pasal soal danantara ruu bumn tercepat hny 1 hari
allegory1318,danantara startegi baru untuk mengelola dividen bumn menuju kemandirian ekonomi indonesia
FP_MassLerr,pengalihan isu pertamina amp danantara
fialhanief,analisis ttg danantara yg akan stuck karena tersandera oleh pejabat yg berusaha menggendutkan diri birokrat yg berwenang tp tdk mau bertanggung jawab korporasi domestik amp asing yg telah mendikte pajak belanja apbn dana pihak ketiga suku bunga amp pengkreditan fx risk
pandaterbang101,simpen di danantara kak
hdlsoo_,yeee kntl pantesan kmrn si mantan gw itu ngedukung danantara
pedy_alienrebel,kalau ditanya danantara kira gmn ya
RahimiNaali,yang busuk itu yang menolak danantara udah keenakan menikmati hasil bumi indonesia selama ini
saerozi63,ketia dewan pakarnya burhanuddin abdullah yg notabene napi korupsi bi mantan gubernur bi bayangkan cc presiden ri kenapa bukan prof ferry yg jadi ketua dengarkan nasehat beliau dan hentikan konsep niat baik tapi busuk dalam danantara
SiKeuyeup,saya jamin 100 danantara tidak ketahuan kalau dikorupsi
garudatvnews,presiden prabowo subianto tengah menimbang kemungkinan merekrut tokoh global sebagai bagian dari dewan penasihat badan pengelola investasi bpi daya anagata nusantara danantara indonesia langkah ini diharapkan dapat membawa perspektif internasional dan pengalaman luas dalam
gayoesme,danantara menjadi katalisator pertumbuhan ekonomi indonesia secara global
gayoesme,dukung danantara untuk pertumbuhan ekonomi nasional yang positif
R19cakra,apakah ini terkait dengan telah aktivnya danantara untuk mengembangkan battery ev kendaraan listrik gem dan ecopro telah menjadi mitra satu sama lainnya selama 8 tahun terakhir
Nutmegjazz,persis jokowi bisanya hanya geram tapi pelaku korupsi disekelilingnya tetap bebas lakukan korupsimalah ex napi korupsi jd bos danantara heram ndasmu
stengah8kurang3,udah banyak yg paham sering absurd tp klo gk bs bahas yg lebih ptg kya pembinaan usia dini liga putri klub gk bayar gaji pemain tragedi kanjuruhan minim ngelanturnya yg brmanfaat tanya ke mentrinya soal bensin oplosan ato rangkap jabatan ato danantara kek
gayoesme,danantara dibentuk untuk memperkuat ekonomi indonesia di masa depan
TWieWae,kewalahan jelas menyembah sampai teriak hidup jokowi dan kepada rakyat dia mengejek nyenyenye ndasmu lalu berkomplot membuat danantara yang isinya genk dia semua dan banyak lagi kelakuan absurd pasangan presiden itu padahal kalo dia ada nyali didukung penuh rakyat lho
gayoesme,danantara adalah konsolidasi semua kekuatan ekonomi kita
aakasep998511,janji makan bergizi gratis anak sekolah janji lapangan kerja belasan juta realisasi danantara
detikfinance,prabowo ke bos danantara pilih yang terbaik tidak boleh ada titipan
gayoesme,danantara merupakan langkah strategis untuk mengatur aset negara agar lebih efektif dan terarah
Jediimar,tenaaang ada danantara
gayoesme,pembentukan bpi danantara merupakan hal positif karena diharapkan dapat mengkapitalisasi kinerja pertamina ke depan
duc_of_nowhere,danantara dengan demikian bukan hanya rawan terhadap kesalahan tata kelola tetapi juga keliru sebagai sebuah konsep kebijakan kabar baik untuk kita adalah bahwa tidak ada kata terlambat untuk mengubah kebijakan yang keliru
Beritasatu,mantanmantan presiden jadi penasihat danantara rosan tunggu tanggal mainnya
duc_of_nowhere,sebagai contoh rp 300 triliun per tahun yang dialokasikan untuk danantara adalah 100 kali lipat anggaran subsidi pt kai dan dapat digunakan untuk membangun jaringan kendaraan umum di kotakota besar di indonesia sdg memasak
gayoesme,dari danantara indonesia mendunia
wijayakarna4,jika tim danantara dipastikan dipilih secara profesional tidak ada titipan apakah para pembantu yg sdh menjabat dipastikan bukan titipan
angreinibulan,satu lagi yg krusial danantara yg baru nie nie harus bener2 diwaspadai karena nie adalah lahan paling buasah buat di diapaain lh bahasa itu yg pas baru selanjutnya isu isu korupsi yg beredar skrng
InvestorID,rosan bicara ihsg danantara dan kepercayaan investor
midhangste,sdh senekat ini saat ada kasus yg jd sorotan mereka terang2an main2 ini sdh gila wajar kl kita curiga ada pihak2 yg sdg diselamatkan kasus pagar laut yg hny seret kades jd contohnya kl dibiarkan negara bs bubar pantes dibentuk danantara utk rampok sblm negara bubar
RayenHanjaya,waktu kampanye yang paling disorot adalah makan bergizi gratis waktu terpilih dananya digunakan untuk danantara good job
officialinews_,pesan prabowo soal pengurus danantara tak boleh ada titiptitipan
unko_itu_aku,ganti pemain demi danantara juga kah
unko_itu_aku,habis danantara knp kaya dikeluarkan semua kasus korupsinya
hategrind_,sibuk ngurusin danantara bu mana ada waktu ngurusin ginian
icccimmm,apakah ini pengalihan isu danantara
faraday_oz,bca aja ga termasuk di dalam danantara
HalomoanHa91790,pdhl semua yg ada di struktur bpi danantara orang titipan jokowi prabowo dan sby
FirmansyahAdhi7,setelah ikn muncul danantara pemerintahan sekarang sama yang jaman mulyono sama ajaa sebelas duabelas intinya cari kendaraan buat ngrampok bangsa ini
TT010816000,tenang ada obat danantara yg bumn2 yg sakit2 akan dipulihkan
GolkarToday,maman abdurrahman yakinkan umkm penyaluran kur tak terganggu oleh danantara
Hudakeyy,danantara dapat anggaran nikmatin aja negri terlantar rakyat sengsara
tengsaw1,rakyat hanya melihat danantara dipimpin oleh orang dg rekan jejak bersih dari 7ang haram korupsi sekaligus punya kompetensi mumpuni kalau syarat 2 ini tdk ada percayalah danantara ini ajan menjadi banjakan korupsi oleh elit negara ini rekam jejak mrk membuktikan
cnbcindonesia,ada isu konglomerat china jadi dewan penasehat ini kata bos danantara
GolkarSolid,makan secukupnya beribadah sepuasnya menteri esdm bahlil lahadalia usulkan 21 proyek senilai rp 457 triliun didanai danantara
lutfi_g,danantara di leverage rata kanan ambil long eh tau nya short ambyarrr
putri_d0ng0,biar kutebak pasti namanama yg penuh harapan kyk danantara wkwk harapan palsu
jjsengui2,trus danantara ngambil duit dari mana
white_lyly,makin kemana2 gak sih sbnrnya danantara ini buat apa sih whats the purpose
elisa_jkt,nahhh mulai ketahuan ini serigalanya dari si danantara jaman gini kagak ada institusi finansial waras yg mau danai investasi batu bara oh jadi gitu tujuan asli danantara
cnbcindonesia,danantara disebut jadi sentimen negatif ihsg rosan buka suara
reezethegreat,jgn kepancing dari kemaren dah mulai banyak yg manas manasin inget guys danantara inget pertamina inget antam jgn mau jadi amunisi buzzer
InvestorID,soal mantan presiden jadi penasihat danantara rosan tunggu tanggal mainnya
yoeskenawas,selain tidak masuk akal dari sudut pandang keuangan argumen bahwa danantara diperlukan untuk mendorong pertumbuhan 8 persen juga merupakan sebuah sesat pikir yang mahal menyelesaikan masalah yang tidak ada dengan masalah baru baca di
anqxagoras,bca biar ga dipake danantara but minusnya sekarang flazz lagi dijegal dimana mana lrt aja gabisa pake flazz wkwk
geloraco,prabowo pastikan tim danantara dipilih secara profesional tidak ada titiptitipan
detikcom,rosan roeslani mengatakan presiden prabowo menitipkan pesan agar tak ada titipan dalam struktur danantara
FKP_Indonesia,investor tdk ada yg mau danai proyek energi kotor jadi pakai lewat danantara
imhola33,mas perihal adanya isu danantara berani hold big bank tadi sempet liat chat bbri sekilas kok kayaknya masih serem yak
krombank_,kok bisa dapat rp250 ribu bukannya cuma 150 ribu aja rp150 ribu bonus langsung dari krom rp100 ribu tambahan dari aku cara dapetinnya pakai kode referral krom doni0179 saat mendaftar kirim bukti sudah deposit zonauang zonaba banjir danantara crypto
Ismail90627422,iblis dan anak cucunya terpingkalpingkal mendengar kata saya jamin 100 danantara tidak akan dikorupsi
okezonenews,prabowo tegaskan tak ada orang titipan di danantara
trxxn_,danantara
UwohMe,smua hasil sitaan korupsi untk danantara modal nyapres 2029
D_shania06,danantara for indonesia better
fareast____,fareastern x space danantara akankah jadi harapan untuk lesunya ekonomi indonesia bersama riskha budiarti tim riset fareastern muslimah host sarah mulyani kamis maret 2025 16001700 wib
Yogha_yaw,mungkin karena dewan penasehat danantara ya sourcenya disitu jd butuh nasehat buat modal nisa dualisme pemimpin nih
D_shania06,danantara untuk indonesia emas 2045
MediaVoi,presiden pertimbangkan dewan penasihat danantara dari tokoh global
Gunalo5252621,yukkkke danantara yukk
suryadelalu,diperingatkan tapi bukannya malah diberikan jabatan di danantara
cnbcindonesia,struktur danantara diumumkan minggu depan rosan ungkap pesan prabowo
KusdiawanT93374,danantara vs trust issue gt saksikan open mind khilafah news bersama bung iwan januar hanya melalui link ini join group wa informasi update setiap harinya
Papantulis42329,mulai dri gas melon nikmir ditangkap oplos pertamax emas dipalsukan sampai zakat dikorup hy buat nutupin pager laut danantara dan bank emas
Kilas_berita_,perintah prabowo danantara harus rekrut orangorang terbaik bukan titipan
acepsaepulbahri,beruntung dia di bantu danantara investasi pertama ke ex sritex
budmul80,masih percaya danantara duit dah ditilep duluan dari bawah
izzyoreoo,pemerintah korup gini malah bikin danantara harusnya tau sih ke mana arahnya nanti welcome to indonesia gelap
RedSaIvia,ngobrolin apa ya danantara
acepsaepulbahri,investor nya danantara
aap_14_,presiden kok menjual kesedihan jadi selebgram aja bertindak lah bikin policy masukin ke apbn tahun berikutnya bukan pemangkasan uangnya dialihkan danantara
le_c_tea,danantara penerimanya
kopisusuaren,ak dapat share video ini kmrn di grup wa dan prof ferry bener2 jelasinnya gamblang serta mudah dipahami gmn efek dr danantara ini yang blm liat silahkan
PendekarPetir17,hokage keenam prihatin hokage ketujuh kaget hokage kedelapan sedih ketiga hokage tersebut kemarin bersatu memencet tombol merah bersama trala lahirlah danantara yang akan menghancurkan indonesia
AyiJuf,mahal banget bisa utang di danantara nggak
DediTsuwabuki,wah terimakasih untuk informasi nya saya baru tau danantara bisa untuk hankam
syayfull,kali mau adili pak jokowi silahkan bawa buktinya dan ajukan diacara itu ragu akan danantara silahkan pihak pak menjelaskan misi visi maksud tujuannya silahkan berdiskusi untuk cari solusi kita semua akan mendukung kebaikan dr semua elemen
diztraksi,lebih percaya wonwoo keturunan ki hajar dewantara daripada pemerintah bilang danantara tidak akan diisi orang titipan
hafizraihan7384,terus ketua danantara siapa kocak
LembagaKERIS,kalau mau terima rupiah kan ada di bawah asuhan danantara
dhimurguy,danantara
FRebahan,danantara resmi gt pertamina tangkep gt bangun kilang semoga beneran niat baik
methaprasetio,sebentar lg mungkin doa nya di ijabah kak danantara kolaps krisis moneter jilid ii segera datang semoga kita semua kuatampselalu sehat ya kak
TirtoID,danantaradisebutsebut sebagai idesumitro djojohadikusumo yang baru terwujud di eraanaknya apakahsuper holdingini dibutuhkanatau sekadar nostalgia
terpongkheng,gue akhirnya paham konsep danantara dari sudut pandang ekonom against danantara pertanyaan gue cmn apa yg ngisi posisi strategis di pemerintahan ga punya expertise di bidang ekonomi kah apakahh apakahhh
sebutsajakucing,80 persen danantara tidak bakal mencapai visinya atau gagal itu hasil analisis btw kak selamat yah diblokir oleh menteri kehutanan
IanPrihatmanto,yakin mangkrak kak gimana kalo dapet gelontoran dana dari danantara kan dihitung investasi juga tuh
AtokYunus23562,jokowi periode 3 pake akun prabowo episode 3 korupsi diperpanjang danantara ladang baru korupsi megatriunan menuju indonesia cemas semakin gelap rakyat megap2
NurdiansyahDian,modal danantara masih kurang lm rakyat bakalan digadai ke imf
IshikaUmmu55786,bagi mereka yang mau merusak bangsa ini tidak ada lagi dalih kecuali bawa2 nasionalisme atau tidak apakah yg disebut nasionalisme itu yg bikin danantara yg dukung pik ambyar dgrn nih
johnlang72,naik jabatan jd dewan penasihat danantara
MahaliMahali6,saya percaya danantara tidak akan di korupsi karna yg didalamnya termasuk rekan keluarga dan kerabat dekat presiden prabowo jadi setelah semua sudah berjalan semua modal langsung di bagi bagi langsung menjadi milik pribadi
KebaikanNusanta,ojk ini ada fungsinya ga ya masak ada danantara lahir mrk diam seribu bahasa jadi fungsinya apa ya
APraja85,setelah danantara muncul lagi koperasi ngaku belum kerja tapi bentuk lembaga penyedot duit rakyat knapa bukan kinerja sih yang diperbaiki dan pejabat ya g tau kerja kagak di eliminasi
oblosid,danantara gak di korupsi korupsinya lewat proyek d perusahaan yg di biayai investasi
Rien_ajah,penjelasan dengan bahasa ekonomi yang mudah di pahami dan sdh berkali kali gw bilang kalau pakai bahasa obrolan warung tukang cabe di pasar aja paham resiko nya danantara dan ga akan mau disuruh invest disitu
heromorphosis,tapi kalo danantara memang untuk kemaslahatan ummat itu bisa jadi solusi lho drpd diinvestasikan ke proyek luar negeri yg ga jelas kek 1mdb
jodramahendra,institusi danantara nya gak dikorupsi tp duitnya yang ditilep
JuniPutra2159,danantara punya uang cash berapa banyak
kangrozin,fakta bahwa danantara dibentuk untuk mengisi funding gap yang sering menghantui pemerintah saat hendak mendorong proyek strategis membuat pertanyaan ini sangat relevan apa itu definisi strategis dan bagaiman kita tahu strategic objectives dari proyek itu sudah tercapai
UwohMe,mega korupsi d eksekusi terusmenerus tujuan nya untuk modal danantara tak peduli lg teman atau lawan yg penting cuan terkumpul sprti yg d targetkan untk modal maka nya mega korupsi d bongkar habisan masa gtu z gk enggeh sih
